item	subtype	subsubtype	optionality	response
Album	Remix album	-	"cover art: F
liner notes: F
audio content: F
remixed tracks: F"	"1. cover art: paper or cardboard
2. liner notes: paper
3. audio content: digital files or vinyl
4. remixed tracks: digital files or vinyl"
Album	Extended play	-	"cover art: F
liner notes: F
audio content: F"	"1. cover art: paper or cardboard
2. liner notes: paper
3. audio content: vinyl, CD polycarbonate, or digital files"
Album	Mixtape	-	"cover art: F
liner notes: F
audio content: F
curated or mixed tracks: F"	"1. cover art: paper
2. liner notes: paper
3. audio content: magnetic tape
4. curated or mixed tracks: magnetic tape"
Alcohol thermometer	-	-	"bulb: F
stem: F
capillary tube: F
scale: F
alcohol: F"	"1. bulb: glass
2. stem: glass
3. capillary tube: glass
4. scale: glass and/or metal
5. alcohol: ethanol or isopropanol"
Alcove (architecture)	-	-	-: F	brick, stone, concrete, and/or wood
Alkaline battery	-	-	"casing: F
cathode: F
anode: F
separator: F
current collector: F"	"1. casing: steel or plastic
2. cathode: manganese dioxide and graphite
3. anode: zinc powder
4. separator: nonwoven fabric
5. current collector: brass"
All-terrain vehicle	Sport ATV	-	"wheels: F
engine: F
seat: F
handlebars: F
footrests: F"	"1. wheels: rubber and metal
2. engine: metals, electronics, and plastics
3. seat: foam and vinyl or leather
4. handlebars: metal and rubber
5. footrests: metal"
All-terrain vehicle	Utility ATV	-	"wheels: F
engine: F
seat: F
handlebars: F
footrests: F
racks: F
hitch: F"	"1. wheels: rubber and metal
2. engine: metals, electronics, and various composite materials
3. seat: foam and vinyl or leather
4. handlebars: metal, rubber, and plastics
5. footrests: metal and/or rubber
6. racks: metal
7. hitch: metal"
All-terrain vehicle	Side-by-side ATV	-	"wheels: F
engine: F
seats: F
steering wheel: F
footrests: F
roll cage: F
cargo bed: T"	"1. wheels: rubber and metal
2. engine: metals and electronics
3. seats: fabric, foam, and plastics
4. steering wheel: rubber, leather, and plastics
5. footrests: metal and/or plastics
6. roll cage: metal
7. cargo bed: metal or plastics"
All-terrain vehicle	Youth ATV	-	"wheels: F
engine: F
seat: F
handlebars: F
footrests: F
speed limiter: T"	"1. wheels: rubber, metal
2. engine: metal, plastics, electronics
3. seat: synthetic leather or fabric, foam
4. handlebars: metal, rubber
5. footrests: metal, plastic
6. speed limiter: electronics, plastic"
Alley	Residential alley	-	-: F	asphalt or concrete
Alley	Business District Alleyway	-	"roadbed: F
loading docks: T"	"1. roadbed: asphalt or concrete
2. loading docks: concrete"
Alley	Service alley	-	"roadbed: F
waste disposal area: T"	"1. roadbed: concrete or asphalt
2. waste disposal area: concrete"
Alley	Pedestrian Alley	-	"roadbed: F
walkways: F"	"1. roadbed: asphalt or concrete
2. walkways: concrete, bricks, stone, or asphalt"
Altar	Pagan altar	-	"table or flat surface: F
religious symbol: F
offerings: F"	"1. table or flat surface: wood, stone, or metal
2. religious symbol: wood, metal, stone, or plastic
3. offerings: varies widely (typically food, textiles, plants, or similar organic materials which are not defined as ""materials"" in industrial sense)"
Altar	Christian altar	-	"table: F
cross: F
altar cloth: F
candlesticks: F
antependium: T"	"1. table: wood or stone
2. cross: wood, metal, and/or stone
3. altar cloth: linen or cotton
4. candlesticks: metal, wood, and/or stone
5. antependium: fabric"
Altar	Buddhist altar	-	"table or shelf: F
statue or image of Buddha: F
offerings: F
meditation cushions: T"	"1. table or shelf: wood or metal
2. statue or image of Buddha: bronze, brass, gold, wood, stone, or marble
3. offerings: various materials, ranging from food to textiles
4. meditation cushions: cloth and filling materials like cotton, buckwheat hulls, or synthetic fibers"
Altar	Hindu altar	-	"table or platform: F
murtis: F
offerings: F
incense holder: F
oil lamp: F"	"1. table or platform: wood or stone or metal
2. murtis: brass or bronze or marble or terra cotta or wood
3. offerings: food or flowers
4. incense holder: brass or bronze or clay or stone or wood
5. oil lamp: brass or bronze or clay or stone or terracotta"
Altar	Jewish Torah reading platform	-	"table or platform: F
Torah scrolls: F"	"1. table or platform: wood or metal
2. Torah scrolls: parchment"
Altar	Muslim Prayer Niche	-	"niche in the wall: F
minbar: T"	"1. niche in the wall: stone or marble
2. minbar: wood, stone, metal, or marble"
Aluminum can	-	-	"body: F
tab: F
lid: F
rim: F"	"1. body: aluminum
2. tab: aluminum
3. lid: aluminum
4. rim: aluminum"
Ambulance	Type I ambulance	-	"chassis: F
patient compartment: F
seating: F
storage cabinets: F
stretcher: F
medical equipment: F
sirens: F
emergency lighting: F"	"1. chassis: steel
2. patient compartment: aluminum, plastics, and composite materials
3. seating: plastics, foam, and fabric
4. storage cabinets: metal, plastic, and/or wood
5. stretcher: metal, plastic, and fabric
6. medical equipment: plastics, metals, and electronics
7. sirens: plastics, electronics, and metal
8. emergency lighting: plastics, electronics, and metal"
Ambulance	Type II ambulance	-	"van chassis: F
patient compartment: F
seating: F
storage cabinets: F
stretcher: F
medical equipment: F
sirens: F
emergency lighting: F"	"1. van chassis: steel and/or aluminum
2. patient compartment: fiberglass, composites, aluminum, and/or steel
3. seating: plastics, vinyl, and/or fabric
4. storage cabinets: metal, plastics, and/or wood
5. stretcher: metal, plastics, and/or fabric
6. medical equipment: electronics, metal, plastics, and rubber
7. sirens: electronics and metal
8. emergency lighting: electronics, plastics, and metal"
Ambulance	Type III ambulance	-	"cutaway van chassis: F
patient compartment: F
seating: F
storage cabinets: F
stretcher: F
medical equipment: F
sirens: F
emergency lighting: F"	"1. cutaway van chassis: metal
2. patient compartment: metal and/or plastics
3. seating: vinyl or fabric, and foam
4. storage cabinets: metal or plastics
5. stretcher: metal and/or plastics, and fabric
6. medical equipment: metal, plastics, and electronics
7. sirens: metal and plastics
8. emergency lighting: metal, plastics, and electronics"
Amphibious aircraft	Flying boat	-	"hull: F
wings: F
cockpit: F
engines: F
sponsons: T"	"1. hull: aluminum or composite materials
2. wings: aluminum or composite materials
3. cockpit: aluminum, glass, and plastic
4. engines: metal alloy and composite materials
5. sponsons: metal or composite materials"
Amphibious aircraft	Float-equipped seaplane	-	"fuselage: F
wings: F
cockpit: F
engines: F
floats: F"	"1. fuselage: aluminum or composite materials
2. wings: aluminum or composite materials
3. cockpit: aluminum, composite materials, and glass
4. engines: metal and electronics
5. floats: aluminum, composite materials, or fiberglass"
Amphibious aircraft	Amphibian	-	"fuselage: F
wings: F
cockpit: F
engines: F
floats: F
retractable landing gear: F"	"1. fuselage: aluminum, titanium, composite materials
2. wings: aluminum, composite materials
3. cockpit: glass, aluminum, plastics
4. engines: titanium, steel, aluminum, composite materials
5. floats: aluminum, fiberglass, and/or composite materials
6. retractable landing gear: steel, aluminum, titanium"
Amphibious vehicle	Military amphibious vehicle	-	"hull: F
wheels or tracks: F
engine: F
transmission: F
driver compartment: F
weapon mounts: T"	"1. hull: steel or aluminum
2. wheels or tracks: rubber and/or steel
3. engine: various metals and electronics
4. transmission: various metals and electronics
5. driver compartment: steel, aluminum, and plastics
6. weapon mounts: steel or aluminum"
Amphibious vehicle	Amphibious car	-	"hull: F
wheels: F
engine: F
transmission: F
driver compartment: F
passenger seating: F"	"1. hull: fiberglass, aluminum, or steel
2. wheels: rubber and steel
3. engine: metal alloys, steel, aluminum, and electronics
4. transmission: metal alloys and steel
5. driver compartment: plastics, leather, and/or fabrics
6. passenger seating: leather, vinyl, cloth, and/or synthetics"
Amphibious vehicle	Amphibious bus	-	"hull: F
wheels: F
engine: F
transmission: F
driver compartment: F
passenger seating: F
multiple entry/exit doors: F"	"1. hull: aluminum or steel
2. wheels: rubber and metal
3. engine: metals, electronics, and plastics
4. transmission: metals and electronics
5. driver compartment: metals, plastics, and glass
6. passenger seating: plastic, leather, and/or fabric
7. multiple entry/exit doors: metal and/or glass"
Amphibious vehicle	Amphibious ATV	-	"hull: F
wheels or tracks: F
engine: F
transmission: F
seating area: F
handlebars: F"	"1. hull: aluminum or plastic
2. wheels or tracks: rubber or metal
3. engine: metal, plastics, and electronics
4. transmission: metal and electronics
5. seating area: plastics, foam, and/or textiles
6. handlebars: metal or plastics"
Amplifier	Integrated amplifier	-	"power supply: F
audio input jacks: F
volume control: F
tone control: F
amplifier circuitry: F"	"1. power supply: electronics, metal
2. audio input jacks: metals
3. volume control: plastics, metal, and electronics
4. tone control: plastics, metal, and electronics
5. amplifier circuitry: electronics, metal"
Amplifier	Pre-amplifier	-	"audio input jacks: F
volume control: F
tone control: F
pre-amplifier circuitry: F"	"1. audio input jacks: metal and/or plastics
2. volume control: plastics and/or metals
3. tone control: plastics and/or metals
4. pre-amplifier circuitry: electronics"
Amplifier	Power amplifier	-	"power supply: F
audio input jacks: F
amplifier circuitry: F"	"1. power supply: electronics, metal, and plastic
2. audio input jacks: metal and plastic
3. amplifier circuitry: electronics and metal"
Amplifier	Headphone amplifier	-	"power supply: F
audio input jacks: F
volume control: F
amplifier circuitry: F
headphone jack: F"	"1. power supply: electronics
2. audio input jacks: metal
3. volume control: electronics and plastic
4. amplifier circuitry: electronics
5. headphone jack: metal"
Amplifier	Guitar amplifier	-	"power supply: F
audio input jacks: F
volume control: F
tone control: F
amplifier circuitry: F
speaker: T"	"1. power supply: electronics, metal
2. audio input jacks: metal and/or plastics
3. volume control: electronics, metal and/or plastics
4. tone control: electronics, metal and/or plastics
5. amplifier circuitry: electronics, metal
6. speaker: metal, paper, and plastics"
Amulet	-	-	-: F	metals, gemstones, glass, clay, wood, bone, and/or leather
Analog stick	-	-	"base: F
stick: F
housing: F
internal mechanism: F"	"1. base: plastic or metal
2. stick: plastic or rubber
3. housing: plastic
4. internal mechanism: electronics and metal"
Analog watch	-	-	"case: F
dial: F
hour hand: F
minute hand: F
second hand: T
crown: F
strap or bracelet: F"	"1. case: metal or plastic
2. dial: metal or plastic
3. hour hand: metal
4. minute hand: metal
5. second hand: metal
6. crown: metal or plastic
7. strap or bracelet: metal, leather, or plastic"
Anchor	Admiralty anchor	-	"shank: F
fluke: F
stock: F
ring: F"	"1. shank: metal
2. fluke: metal
3. stock: metal
4. ring: metal"
Anchor	Plow anchor	-	"shank: F
fluke: F
pivot: F
shackle: F"	"1. shank: steel or galvanized steel
2. fluke: steel or galvanized steel
3. pivot: steel or galvanized steel
4. shackle: steel or galvanized steel"
Anchor	Bruce anchor	-	"shank: F
fluke: F
pivot: F"	"1. shank: metal
2. fluke: metal
3. pivot: metal"
Anchor	Danforth anchor	-	"shank: F
fluke: F
stock: F
shackle: F"	"1. shank: steel
2. fluke: steel
3. stock: steel
4. shackle: steel"
Anchor	Grapnel anchor	-	"shank: F
fluke: F
ring: F"	"1. shank: metal
2. fluke: metal
3. ring: metal"
Anchor	Mushroom anchor	-	"stem: F
dome: F
ring: F"	"1. stem: metal
2. dome: metal
3. ring: metal"
Anchor	Clump Anchor	-	"weight: F
ring: F"	"1. weight: metal
2. ring: metal"
Ancient monument	Megalith	-	-: F	stone
Ancient monument	Menhir	-	-: F	stone
Ancient monument	Dolmen	-	"flat stones: F
supporting stones: F"	"1. flat stones: stone
2. supporting stones: stone"
Ancient monument	Pyramid	-	"base: F
apex: F
faces: F
internal chambers: T"	"1. base: stone
2. apex: stone
3. faces: stone
4. internal chambers: stone"
Ancient monument	Tomb	-	"burial chamber: F
passageway: F"	"1. burial chamber: stone or concrete
2. passageway: stone or concrete"
Ancient monument	Temple	-	"sanctuary: F
outer walls: F
columns: T
altars: T"	"1. sanctuary: stone, wood, and/or metal
2. outer walls: stone, brick, concrete, and/or wood
3. columns: stone, concrete, metal, and/or wood
4. altars: stone, wood, and/or metal"
Ancient monument	Ziggurat	-	"terraced levels: F
staircase: F"	"1. terraced levels: mudbrick and/or stone
2. staircase: mudbrick and/or stone"
Ancient monument	Stupa	-	"dome: F
harmika: F
chattra: F
base: F"	"1. dome: stone and/or brick
2. harmika: stone
3. chattra: metal, wood, and/or stone
4. base: stone and/or brick"
Ancient monument	Amphitheatre	-	"arena: F
seating areas: F
vomitorium: F"	"1. arena: stone or concrete
2. seating areas: stone, concrete, and/or wood
3. vomitorium: stone or concrete"
Ancient monument	Ancient Roman Aqueduct	-	"conduits: F
arches: F
piers: F"	"1. conduits: stone, brick, concrete, and/or timber
2. arches: stone, concrete, and/or brick
3. piers: stone, concrete, and/or brick"
Ancient monument	Obelisk	-	"monolithic pillar: F
pyramidion: F"	"1. monolithic pillar: stone
2. pyramidion: stone"
Ancient monument	Colossal Statue	-	"body: F
base or pedestal: T"	"1. body: metal, stone, wood, or clay
2. base or pedestal: metal, stone, wood, or concrete"
Ancient monument	Burial Mound	-	"earthen structure: F
burial chamber: T"	"1. earthen structure: soil and/or stone
2. burial chamber: wood or stone"
Ancient monument	Prehistoric stone cairn	-	-: F	stone
Ancient monument	Stone Circle	-	-	-
Ancient monument	Petroglyph	-	-: F	stone
Ancient monument	Moai	-	"monolithic human figures: F
platforms: T"	"1. monolithic human figures: volcanic tuff and/or basalt
2. platforms: volcanic tuff"
Ancient monument	Kiva	-	"underground chamber: F
roof: F
sipapu: T
ladder: T"	"1. underground chamber: stone and/or earth
2. roof: wood and/or earth
3. sipapu: stone or wood
4. ladder: wood"
Android (robot)	-	-	"head: F
torso: F
limbs: F
internal mechanisms: F"	"1. head: plastic, metal, and electronics
2. torso: plastic, metal, and electronics
3. limbs: plastic, metal, and electronics
4. internal mechanisms: electronics and metal"
